date	time	Vx ht (nV) 	Vx width 	Vx freq 	Vx h*w/d 	Vx mse 	Vx backgr	DVM	Vy ht	Vy width	Vy freq	Vy h*w/d	Vy mse	Vy backgr
09/12/2024	14:02:45	1502680.146   	0.1442	142.0110	 3.0955E+1	2.4036E-4	-1.6413E+2	0.0000E+0	1.5047E+6	1.4278E-1	142.0114	3.0692E+1	6.0421E-4	-9.2681E+4
09/12/2024	14:08:45	1473894.504   	0.1457	142.0077	 3.0669E+1	8.8095E-5	-2.1938E+3	0.0000E+0	1.5276E+6	1.3641E-1	142.0057	2.9769E+1	4.5989E-4	-1.0037E+5
09/12/2024	14:14:46	1515015.764   	0.1439	142.0086	 3.1154E+1	4.7971E-4	-7.3087E+3	0.0000E+0	1.5449E+6	1.4476E-1	142.0085	3.1948E+1	1.8608E-3	-9.1255E+4
09/12/2024	14:20:43	1522457.139   	0.1416	142.0105	 3.0797E+1	1.7592E-4	-5.8991E+3	0.0000E+0	1.5290E+6	1.4083E-1	142.0103	3.0761E+1	5.4172E-4	-9.1036E+4
09/12/2024	14:30:43	165725.874   	0.1966	88.4632	 4.6535E+0	6.0386E-4	1.6628E+4	0.0000E+0	1.6598E+5	1.4614E-1	88.4550	3.4652E+0	8.9285E-5	3.3187E+5
09/12/2024	14:41:14	157854.999   	0.2007	88.3228	 4.5250E+0	1.3286E-3	1.7885E+4	0.0000E+0	1.4825E+5	1.7714E-1	88.3124	3.7515E+0	6.4273E-5	3.3838E+5
09/12/2024	14:51:14	127207.529   	0.2546	88.3611	 4.6274E+0	1.6775E-3	5.5228E+3	0.0000E+0	1.0931E+5	1.7694E-1	88.3473	2.7630E+0	3.0400E-5	3.3692E+5
09/12/2024	14:57:14	117293.978   	0.2664	88.3591	 4.4645E+0	2.3152E-3	5.8034E+3	0.0000E+0	9.5539E+4	2.4032E-1	88.3456	3.2800E+0	4.4833E-5	3.3703E+5
09/12/2024	15:02:35	114985.867   	0.2729	88.3531	 4.4828E+0	1.5340E-3	7.7381E+3	0.0000E+0	9.5109E+4	2.0558E-1	88.3421	2.7932E+0	2.8786E-5	3.3650E+5
09/12/2024	15:07:53	99892.494   	0.3726	88.3850	 5.3178E+0	8.7250E-4	3.0546E+3	0.0000E+0	8.2634E+4	2.9469E-1	88.3810	3.4788E+0	4.7999E-5	3.3838E+5
09/12/2024	15:14:15	223039.462   	0.1509	88.3135	 4.8074E+0	2.5326E-4	9.6585E+3	0.0000E+0	2.1563E+5	1.4964E-1	88.3108	4.6096E+0	1.7485E-5	3.3475E+5
09/12/2024	15:19:33	228823.022   	0.1457	88.3084	 4.7642E+0	2.6862E-4	1.0783E+4	0.0000E+0	2.2831E+5	1.5203E-1	88.3088	4.9586E+0	7.9560E-5	3.3691E+5
09/12/2024	15:24:55	231666.928   	0.1448	88.3075	 4.7915E+0	2.3505E-4	1.1109E+4	0.0000E+0	2.2520E+5	1.4831E-1	88.3091	4.7713E+0	1.7092E-5	3.3799E+5
