% Fsweep 1  at:	09/12/2024	14:02:45	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
1.4150000000E+2	3.3915300000E-5	1.3125000000E-4	3.8165976163E+9
1.4151010101E+2	3.4272900000E-5	1.3440900000E-4	3.8165976193E+9
1.4152020202E+2	3.7014700000E-5	1.3685300000E-4	3.8165976223E+9
1.4153030303E+2	3.6180300000E-5	1.4090600000E-4	3.8165976254E+9
1.4154040404E+2	3.8087600000E-5	1.4656900000E-4	3.8165976284E+9
1.4155050505E+2	4.0948600000E-5	1.5396000000E-4	3.8165976314E+9
1.4156060606E+2	4.2915600000E-5	1.6003900000E-4	3.8165976344E+9
1.4157070707E+2	4.4286500000E-5	1.6409300000E-4	3.8165976375E+9
1.4158080808E+2	4.5478600000E-5	1.6570200000E-4	3.8165976405E+9
1.4159090909E+2	4.7922400000E-5	1.6874200000E-4	3.8165976435E+9
1.4160101010E+2	5.1975500000E-5	1.7649000000E-4	3.8165976466E+9
1.4161111111E+2	5.7399500000E-5	1.8274900000E-4	3.8165976496E+9
1.4162121212E+2	5.9724100000E-5	1.8656300000E-4	3.8165976526E+9
1.4163131313E+2	6.0677800000E-5	1.9592100000E-4	3.8165976557E+9
1.4164141414E+2	6.4194700000E-5	2.0438500000E-4	3.8165976587E+9
1.4165151515E+2	7.0691600000E-5	2.1124000000E-4	3.8165976617E+9
1.4166161616E+2	7.0155100000E-5	2.1547200000E-4	3.8165976647E+9
1.4167171717E+2	7.5221500000E-5	2.2393600000E-4	3.8165976678E+9
1.4168181818E+2	7.9691900000E-5	2.3031300000E-4	3.8165976708E+9
1.4169191919E+2	8.5056300000E-5	2.3955200000E-4	3.8165976738E+9
1.4170202020E+2	9.3102900000E-5	2.4962600000E-4	3.8165976769E+9
1.4171212121E+2	9.4295000000E-5	2.6095100000E-4	3.8165976799E+9
1.4172222222E+2	9.9540200000E-5	2.7013000000E-4	3.8165976829E+9
1.4173232323E+2	1.0830200000E-4	2.8085900000E-4	3.8165976860E+9
1.4174242424E+2	1.1295100000E-4	2.9087300000E-4	3.8165976890E+9
1.4175252525E+2	1.2296500000E-4	3.0511800000E-4	3.8165976920E+9
1.4176262626E+2	1.3101200000E-4	3.1888700000E-4	3.8165976950E+9
1.4177272727E+2	1.4078700000E-4	3.3319200000E-4	3.8165976981E+9
1.4178282828E+2	1.5503300000E-4	3.4475500000E-4	3.8165977011E+9
1.4179292929E+2	1.6784800000E-4	3.5906000000E-4	3.8165977041E+9
1.4180303030E+2	1.8012600000E-4	3.7235200000E-4	3.8165977072E+9
1.4181313131E+2	1.9645800000E-4	3.9035300000E-4	3.8165977102E+9
1.4182323232E+2	2.1428000000E-4	4.0859200000E-4	3.8165977132E+9
1.4183333333E+2	2.3752500000E-4	4.2951300000E-4	3.8165977163E+9
1.4184343434E+2	2.6029500000E-4	4.5085100000E-4	3.8165977193E+9
1.4185353535E+2	2.8515000000E-4	4.7314400000E-4	3.8165977223E+9
1.4186363636E+2	3.1721800000E-4	4.9031200000E-4	3.8165977253E+9
1.4187373737E+2	3.5369600000E-4	5.1200800000E-4	3.8165977284E+9
1.4188383838E+2	3.9845900000E-4	5.3865100000E-4	3.8165977314E+9
1.4189393939E+2	4.4262600000E-4	5.5599600000E-4	3.8165977344E+9
1.4190404040E+2	4.9990800000E-4	5.7876500000E-4	3.8165977375E+9
1.4191414141E+2	5.6553300000E-4	5.9968600000E-4	3.8165977405E+9
1.4192424242E+2	6.4129000000E-4	6.0564700000E-4	3.8165977435E+9
1.4193434343E+2	7.4595600000E-4	6.0439500000E-4	3.8165977466E+9
1.4194444444E+2	8.3876000000E-4	6.1202400000E-4	3.8165977496E+9
1.4195454545E+2	9.2697500000E-4	5.9330800000E-4	3.8165977526E+9
1.4196464646E+2	1.0385600000E-3	5.4717400000E-4	3.8165977556E+9
1.4197474747E+2	1.1612300000E-3	4.7648100000E-4	3.8165977587E+9
1.4198484848E+2	1.2771000000E-3	3.7563000000E-4	3.8165977617E+9
1.4199494949E+2	1.3860500000E-3	2.3651200000E-4	3.8165977647E+9
1.4200505051E+2	1.4647300000E-3	6.5565600000E-5	3.8165977678E+9
1.4201515152E+2	1.4956100000E-3	-1.3041600000E-4	3.8165977708E+9
1.4202525253E+2	1.4745100000E-3	-3.4034400000E-4	3.8165977738E+9
1.4203535354E+2	1.4037000000E-3	-5.3859100000E-4	3.8165977769E+9
1.4204545455E+2	1.2865100000E-3	-7.0143100000E-4	3.8165977799E+9
1.4205555556E+2	1.1350000000E-3	-8.1956800000E-4	3.8165977829E+9
1.4206565657E+2	9.7585100000E-4	-8.9002000000E-4	3.8165977859E+9
1.4207575758E+2	8.2672000000E-4	-9.1529300000E-4	3.8165977890E+9
1.4208585859E+2	6.9904700000E-4	-9.0706700000E-4	3.8165977920E+9
1.4209595960E+2	5.9545400000E-4	-8.8215200000E-4	3.8165977950E+9
1.4210606061E+2	5.0843100000E-4	-8.4960800000E-4	3.8165977981E+9
1.4211616162E+2	4.3928800000E-4	-8.1980600000E-4	3.8165978011E+9
1.4212626263E+2	3.7884900000E-4	-7.8916900000E-4	3.8165978041E+9
1.4213636364E+2	3.3283400000E-4	-7.5388300000E-4	3.8165978072E+9
1.4214646465E+2	2.9087300000E-4	-7.2277000000E-4	3.8165978102E+9
1.4215656566E+2	2.5165300000E-4	-6.9392100000E-4	3.8165978132E+9
1.4216666667E+2	2.2804800000E-4	-6.6101900000E-4	3.8165978162E+9
1.4217676768E+2	2.0623300000E-4	-6.3431600000E-4	3.8165978193E+9
1.4218686869E+2	1.8406000000E-4	-6.1273900000E-4	3.8165978223E+9
1.4219696970E+2	1.6713200000E-4	-5.9414300000E-4	3.8165978253E+9
1.4220707071E+2	1.5294600000E-4	-5.7387700000E-4	3.8165978284E+9
1.4221717172E+2	1.4126400000E-4	-5.5432700000E-4	3.8165978314E+9
1.4222727273E+2	1.2278600000E-4	-5.3728000000E-4	3.8165978344E+9
1.4223737374E+2	1.1479900000E-4	-5.1737200000E-4	3.8165978375E+9
1.4224747475E+2	1.0705000000E-4	-5.0104000000E-4	3.8165978405E+9
1.4225757576E+2	1.0359300000E-4	-4.8804500000E-4	3.8165978435E+9
1.4226767677E+2	9.8109700000E-5	-4.7564700000E-4	3.8165978465E+9
1.4227777778E+2	9.1195600000E-5	-4.6289200000E-4	3.8165978496E+9
1.4228787879E+2	7.9989900000E-5	-4.4608300000E-4	3.8165978526E+9
1.4229797980E+2	7.5221500000E-5	-4.3392400000E-4	3.8165978556E+9
1.4230808081E+2	7.5817600000E-5	-4.2963200000E-4	3.8165978587E+9
1.4231818182E+2	6.5088700000E-5	-4.1938000000E-4	3.8165978617E+9
1.4232828283E+2	6.5923200000E-5	-4.0722100000E-4	3.8165978647E+9
