% Fsweep 22  at:	11/12/2024	16:29:54	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
8.8065793568E+1	2.4378400000E-5	4.0668400000E-4	3.8167789976E+9
8.8070890850E+1	2.4855300000E-5	4.0781700000E-4	3.8167790057E+9
8.8075988131E+1	2.6107000000E-5	4.0978400000E-4	3.8167790138E+9
8.8081085413E+1	2.6881800000E-5	4.1109500000E-4	3.8167790219E+9
8.8086182695E+1	2.7477900000E-5	4.1294300000E-4	3.8167790299E+9
8.8091279976E+1	2.8073900000E-5	4.1437300000E-4	3.8167790380E+9
8.8096377258E+1	2.9444800000E-5	4.1592300000E-4	3.8167790461E+9
8.8101474540E+1	3.0279300000E-5	4.1824800000E-4	3.8167790542E+9
8.8106571821E+1	3.0935000000E-5	4.2045300000E-4	3.8167790623E+9
8.8111669103E+1	3.1471500000E-5	4.2253900000E-4	3.8167790703E+9
8.8116766384E+1	3.2842400000E-5	4.2498300000E-4	3.8167790784E+9
8.8121863666E+1	3.4451700000E-5	4.2712900000E-4	3.8167790865E+9
8.8126960948E+1	3.6299500000E-5	4.3004900000E-4	3.8167790946E+9
8.8132058229E+1	3.7431900000E-5	4.3249300000E-4	3.8167791027E+9
8.8137155511E+1	3.8802900000E-5	4.3499700000E-4	3.8167791107E+9
8.8142252793E+1	3.9756500000E-5	4.3726200000E-4	3.8167791188E+9
8.8147350074E+1	4.3332800000E-5	4.3994400000E-4	3.8167791269E+9
8.8152447356E+1	4.3988500000E-5	4.4262600000E-4	3.8167791350E+9
8.8157544638E+1	4.7087900000E-5	4.4602300000E-4	3.8167791431E+9
8.8162641919E+1	4.9948900000E-5	4.4989800000E-4	3.8167791512E+9
8.8167739201E+1	5.1737100000E-5	4.5335500000E-4	3.8167791592E+9
8.8172836483E+1	5.3882800000E-5	4.5699100000E-4	3.8167791673E+9
8.8177933764E+1	5.7280300000E-5	4.6009000000E-4	3.8167791754E+9
8.8183031046E+1	6.0797000000E-5	4.6432200000E-4	3.8167791835E+9
8.8188128328E+1	6.4492700000E-5	4.6789800000E-4	3.8167791916E+9
8.8193225609E+1	6.9141900000E-5	4.7284600000E-4	3.8167791996E+9
8.8198322891E+1	7.3433400000E-5	4.7666000000E-4	3.8167792077E+9
8.8203420173E+1	7.7724900000E-5	4.8119000000E-4	3.8167792158E+9
8.8208517454E+1	8.3387400000E-5	4.8583900000E-4	3.8167792239E+9
8.8213614736E+1	8.9288200000E-5	4.9108600000E-4	3.8167792320E+9
8.8218712018E+1	9.6679200000E-5	4.9663000000E-4	3.8167792400E+9
8.8223809299E+1	1.0389100000E-4	5.0080200000E-4	3.8167792481E+9
8.8228906581E+1	1.1247400000E-4	5.0622600000E-4	3.8167792562E+9
8.8234003862E+1	1.2213100000E-4	5.1105400000E-4	3.8167792643E+9
8.8239101144E+1	1.3232300000E-4	5.1600100000E-4	3.8167792724E+9
8.8244198426E+1	1.4406500000E-4	5.1987500000E-4	3.8167792804E+9
8.8249295707E+1	1.5741700000E-4	5.2476300000E-4	3.8167792885E+9
8.8254392989E+1	1.7184100000E-4	5.2869700000E-4	3.8167792966E+9
8.8259490271E+1	1.8799400000E-4	5.3167700000E-4	3.8167793047E+9
8.8264587552E+1	2.0629300000E-4	5.3418100000E-4	3.8167793128E+9
8.8269684834E+1	2.2602200000E-4	5.3424000000E-4	3.8167793209E+9
8.8274782116E+1	2.4891100000E-4	5.3132000000E-4	3.8167793289E+9
8.8279879397E+1	2.7305100000E-4	5.2714700000E-4	3.8167793370E+9
8.8284976679E+1	2.9748900000E-4	5.1892200000E-4	3.8167793451E+9
8.8290073961E+1	3.2556200000E-4	5.0646400000E-4	3.8167793532E+9
8.8295171242E+1	3.5256300000E-4	4.8923900000E-4	3.8167793613E+9
8.8300268524E+1	3.7908700000E-4	4.6557400000E-4	3.8167793693E+9
8.8305365806E+1	4.0310800000E-4	4.3583100000E-4	3.8167793774E+9
8.8310463087E+1	4.2218200000E-4	4.0084300000E-4	3.8167793855E+9
8.8315560369E+1	4.3398300000E-4	3.6049100000E-4	3.8167793936E+9
8.8320657651E+1	4.3362600000E-4	3.1376100000E-4	3.8167794017E+9
8.8325754932E+1	4.2504300000E-4	2.6923600000E-4	3.8167794097E+9
8.8330852214E+1	4.1216800000E-4	2.2959800000E-4	3.8167794178E+9
8.8335949495E+1	3.9261800000E-4	1.9401400000E-4	3.8167794259E+9
8.8341046777E+1	3.6829900000E-4	1.6284100000E-4	3.8167794340E+9
8.8346144059E+1	3.4088100000E-4	1.3965500000E-4	3.8167794421E+9
8.8351241340E+1	3.1179400000E-4	1.2272700000E-4	3.8167794501E+9
8.8356338622E+1	2.8282600000E-4	1.1044800000E-4	3.8167794582E+9
8.8361435904E+1	2.5457300000E-4	1.0341500000E-4	3.8167794663E+9
8.8366533185E+1	2.2602200000E-4	1.0031500000E-4	3.8167794744E+9
8.8371630467E+1	2.0432600000E-4	1.0275900000E-4	3.8167794825E+9
8.8376727749E+1	1.8304700000E-4	1.0526200000E-4	3.8167794906E+9
8.8381825030E+1	1.6528500000E-4	1.0985200000E-4	3.8167794986E+9
