% Fsweep 1  at:	17/12/2024	16:51:25	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
8.8044000000E+1	2.0384900000E-5	4.3797700000E-4	3.8172986885E+9
8.8053656566E+1	2.1577000000E-5	4.4101700000E-4	3.8172986966E+9
8.8063313131E+1	2.3007500000E-5	4.4602300000E-4	3.8172987046E+9
8.8072969697E+1	2.5034100000E-5	4.4852700000E-4	3.8172987127E+9
8.8082626263E+1	2.7001000000E-5	4.5389100000E-4	3.8172987208E+9
8.8092282828E+1	2.8312300000E-5	4.5866000000E-4	3.8172987289E+9
8.8101939394E+1	3.2067500000E-5	4.6253400000E-4	3.8172987370E+9
8.8111595960E+1	3.4749700000E-5	4.6903100000E-4	3.8172987451E+9
8.8121252525E+1	3.7610800000E-5	4.7391800000E-4	3.8172987531E+9
8.8130909091E+1	4.1425500000E-5	4.8035600000E-4	3.8172987612E+9
8.8140565657E+1	4.7207100000E-5	4.8721000000E-4	3.8172987693E+9
8.8150222222E+1	5.2631100000E-5	4.9549700000E-4	3.8172987774E+9
8.8159878788E+1	6.0320100000E-5	5.0396100000E-4	3.8172987855E+9
8.8169535354E+1	6.7830600000E-5	5.1182900000E-4	3.8172987935E+9
8.8179191919E+1	7.7188500000E-5	5.2178300000E-4	3.8172988016E+9
8.8188848485E+1	9.1076400000E-5	5.3215400000E-4	3.8172988097E+9
8.8198505051E+1	1.0502400000E-4	5.4276400000E-4	3.8172988178E+9
8.8208161616E+1	1.2195200000E-4	5.5337300000E-4	3.8172988259E+9
8.8217818182E+1	1.4370800000E-4	5.6297000000E-4	3.8172988339E+9
8.8227474747E+1	1.7166200000E-4	5.7387700000E-4	3.8172988420E+9
8.8237131313E+1	2.0486200000E-4	5.8007600000E-4	3.8172988501E+9
8.8246787879E+1	2.4634800000E-4	5.8204300000E-4	3.8172988582E+9
8.8256444444E+1	2.9605800000E-4	5.7739400000E-4	3.8172988663E+9
8.8266101010E+1	3.5101400000E-4	5.5695000000E-4	3.8172988743E+9
8.8275757576E+1	4.1234700000E-4	5.1677600000E-4	3.8172988824E+9
8.8285414141E+1	4.6652700000E-4	4.5109000000E-4	3.8172988905E+9
8.8295070707E+1	4.9692800000E-4	3.6108700000E-4	3.8172988986E+9
8.8304727273E+1	4.9055000000E-4	2.6411000000E-4	3.8172989067E+9
8.8314383838E+1	4.4983800000E-4	1.7464300000E-4	3.8172989148E+9
8.8324040404E+1	3.8129300000E-4	1.0985200000E-4	3.8172989228E+9
8.8333696970E+1	3.0529700000E-4	8.6188800000E-5	3.8172989309E+9
8.8343353535E+1	2.4378400000E-4	8.1778000000E-5	3.8172989390E+9
8.8353010101E+1	1.9478900000E-4	8.9586200000E-5	3.8172989471E+9
8.8362666667E+1	1.5705900000E-4	1.0413000000E-4	3.8172989552E+9
8.8372323232E+1	1.2880700000E-4	1.1879300000E-4	3.8172989632E+9
8.8381979798E+1	1.0663300000E-4	1.3464800000E-4	3.8172989713E+9
8.8391636364E+1	9.0420700000E-5	1.4758200000E-4	3.8172989794E+9
8.8401292929E+1	7.7903700000E-5	1.6021800000E-4	3.8172989875E+9
8.8410949495E+1	6.7949800000E-5	1.7225800000E-4	3.8172989956E+9
8.8420606061E+1	5.9664500000E-5	1.8334500000E-4	3.8172990036E+9
8.8430262626E+1	5.2631100000E-5	1.9294100000E-4	3.8172990117E+9
8.8439919192E+1	4.7326300000E-5	2.0080900000E-4	3.8172990198E+9
8.8449575758E+1	4.1008200000E-5	2.0706700000E-4	3.8172990279E+9
8.8459232323E+1	3.7372300000E-5	2.1493500000E-4	3.8172990360E+9
8.8468888889E+1	3.3676900000E-5	2.2095500000E-4	3.8172990441E+9
8.8478545455E+1	3.0637000000E-5	2.2745200000E-4	3.8172990521E+9
8.8488202020E+1	2.7299000000E-5	2.3198200000E-4	3.8172990602E+9
8.8497858586E+1	2.4378400000E-5	2.3764500000E-4	3.8172990683E+9
8.8507515152E+1	2.3245900000E-5	2.4193600000E-4	3.8172990764E+9
8.8517171717E+1	2.1219400000E-5	2.4461900000E-4	3.8172990845E+9
8.8526828283E+1	1.9610000000E-5	2.4980500000E-4	3.8172990925E+9
8.8536484848E+1	1.9788900000E-5	2.5445400000E-4	3.8172991006E+9
8.8546141414E+1	1.6749000000E-5	2.5689800000E-4	3.8172991087E+9
8.8555797980E+1	1.6033800000E-5	2.6035500000E-4	3.8172991168E+9
8.8565454545E+1	1.5020400000E-5	2.6345400000E-4	3.8172991249E+9
8.8575111111E+1	1.3172700000E-5	2.6720900000E-4	3.8172991329E+9
8.8584767677E+1	1.2397800000E-5	2.6947400000E-4	3.8172991410E+9
8.8594424242E+1	1.1324900000E-5	2.7096500000E-4	3.8172991491E+9
8.8604080808E+1	1.1265300000E-5	2.7525600000E-4	3.8172991572E+9
8.8613737374E+1	9.8944300000E-6	2.7686500000E-4	3.8172991653E+9
8.8623393939E+1	8.2851000000E-6	2.7799800000E-4	3.8172991733E+9
8.8633050505E+1	9.4175900000E-6	2.8121700000E-4	3.8172991814E+9
8.8642707071E+1	8.1062900000E-6	2.8264700000E-4	3.8172991895E+9
8.8652363636E+1	7.5102100000E-6	2.8479300000E-4	3.8172991976E+9
8.8662020202E+1	8.1658900000E-6	2.8527000000E-4	3.8172992057E+9
8.8671676768E+1	7.0929800000E-6	2.8634300000E-4	3.8172992138E+9
8.8681333333E+1	7.0333800000E-6	2.8825000000E-4	3.8172992218E+9
8.8690989899E+1	7.0929800000E-6	2.9140900000E-4	3.8172992299E+9
8.8700646465E+1	6.7949600000E-6	2.9224300000E-4	3.8172992380E+9
8.8710303030E+1	6.8545600000E-6	2.9260100000E-4	3.8172992461E+9
8.8719959596E+1	5.9604900000E-6	2.9570100000E-4	3.8172992542E+9
8.8729616162E+1	6.2585200000E-6	2.9522400000E-4	3.8172992622E+9
8.8739272727E+1	5.8412800000E-6	2.9701200000E-4	3.8172992703E+9
8.8748929293E+1	5.3644500000E-6	2.9909800000E-4	3.8172992784E+9
8.8758585859E+1	4.8876100000E-6	2.9987300000E-4	3.8172992865E+9
8.8768242424E+1	4.9472100000E-6	2.9999200000E-4	3.8172992946E+9
8.8777898990E+1	5.0664200000E-6	3.0201900000E-4	3.8172993026E+9
8.8787555556E+1	5.7220800000E-6	3.0261500000E-4	3.8172993107E+9
8.8797212121E+1	3.8147300000E-6	3.0261500000E-4	3.8172993188E+9
8.8806868687E+1	4.7088000000E-6	3.0392600000E-4	3.8172993269E+9
8.8816525253E+1	5.3644500000E-6	3.0565400000E-4	3.8172993350E+9
8.8826181818E+1	4.0531400000E-6	3.0535600000E-4	3.8172993430E+9
8.8835838384E+1	4.1127500000E-6	3.0654900000E-4	3.8172993511E+9
8.8845494949E+1	3.2782700000E-6	3.0732300000E-4	3.8172993592E+9
8.8855151515E+1	3.1590600000E-6	3.0815800000E-4	3.8172993673E+9
8.8864808081E+1	3.3974800000E-6	3.0887300000E-4	3.8172993754E+9
8.8874464646E+1	3.4570800000E-6	3.1036300000E-4	3.8172993835E+9
8.8884121212E+1	2.5630100000E-6	3.1054200000E-4	3.8172993915E+9
8.8893777778E+1	2.4438000000E-6	3.1066100000E-4	3.8172993996E+9
8.8903434343E+1	2.6226200000E-6	3.1179400000E-4	3.8172994077E+9
8.8913090909E+1	2.5034100000E-6	3.1185300000E-4	3.8172994158E+9
8.8922747475E+1	3.0994600000E-6	3.1358200000E-4	3.8172994239E+9
8.8932404040E+1	2.5630100000E-6	3.1471400000E-4	3.8172994319E+9
8.8942060606E+1	1.5497300000E-6	3.1405900000E-4	3.8172994400E+9
